generation,best_fitness,min_fitness,max_fitness,mean_fitness,std_fitness,gene_0,gene_1,gene_2,gene_3,gene_4,gene_5
110,5.34178,5.3565,458.218,28.0328,61.4016,-778.416,177.55,421.66,52.7681,1041.05,4560.69
111,5.34178,5.35196,451.73,23.5176,47.3447,-778.416,177.55,421.66,52.7681,1041.05,4560.69
112,5.34178,5.35932,537.296,22.7446,49.7952,-778.416,177.55,421.66,52.7681,1041.05,4560.69
113,5.34178,5.36434,590.109,26.0227,66.9881,-778.416,177.55,421.66,52.7681,1041.05,4560.69
114,5.34178,5.34402,380.73,23.1184,46.6663,-778.416,177.55,421.66,52.7681,1041.05,4560.69
115,5.34178,5.35062,511.692,21.0648,46.8874,-778.416,177.55,421.66,52.7681,1041.05,4560.69
116,5.34178,5.35618,282.735,22.7849,41.8856,-778.416,177.55,421.66,52.7681,1041.05,4560.69
117,5.34178,5.34324,357.66,20.3881,48.8355,-778.416,177.55,421.66,52.7681,1041.05,4560.69
118,5.34178,5.34399,578.085,22.2523,52.0272,-778.416,177.55,421.66,52.7681,1041.05,4560.69
119,5.34178,5.34647,495.734,20.9295,53.0398,-778.416,177.55,421.66,52.7681,1041.05,4560.69
120,5.34178,5.34514,249.49,20.629,37.1454,-778.416,177.55,421.66,52.7681,1041.05,4560.69
121,5.33972,5.33972,533.31,22.8813,56.6975,-778.546,177.809,421.468,52.8015,1039.87,4563.67
122,5.33972,5.34209,351.358,20.9984,45.7196,-778.546,177.809,421.468,52.8015,1039.87,4563.67
123,5.3379,5.3379,556.799,20.9016,51.6519,-778.443,177.837,421.326,52.8033,1039.64,4566.5
124,5.3379,5.34178,283.002,18.3997,34.0285,-778.443,177.837,421.326,52.8033,1039.64,4566.5
125,5.3379,5.33871,376.361,21.9731,48.3951,-778.443,177.837,421.326,52.8033,1039.64,4566.5
126,5.3379,5.33816,481.624,17.2931,43.2383,-778.443,177.837,421.326,52.8033,1039.64,4566.5
127,5.3379,5.34365,598.311,20.8369,53.285,-778.443,177.837,421.326,52.8033,1039.64,4566.5
128,5.3379,5.34054,430.912,17.947,42.228,-778.443,177.837,421.326,52.8033,1039.64,4566.5
129,5.33748,5.33748,433.277,17.8226,41.679,-778.576,177.969,421.437,52.7676,1041.71,4572.55
130,5.33748,5.33919,476.29,20.0178,47.3198,-778.576,177.969,421.437,52.7676,1041.71,4572.55
131,5.33656,5.33656,423.478,17.6185,40.6009,-777.639,178.29,420.511,52.4807,1040.16,4577.12
132,5.33308,5.33308,270.67,20.2322,41.6608,-777.86,177.916,420.661,52.7847,1038.26,4572.68
133,5.33308,5.34826,509.607,17.4521,43.9581,-777.86,177.916,420.661,52.7847,1038.26,4572.68
134,5.33308,5.34817,499.482,19.4047,48.7774,-777.86,177.916,420.661,52.7847,1038.26,4572.68
135,5.33308,5.34925,496.168,21.2179,52.2041,-777.86,177.916,420.661,52.7847,1038.26,4572.68
136,5.33308,5.34115,361.257,17.2904,38.244,-777.86,177.916,420.661,52.7847,1038.26,4572.68
137,5.33308,5.34221,232.813,15.9479,28.5348,-777.86,177.916,420.661,52.7847,1038.26,4572.68
138,5.33308,5.33677,392.857,17.2498,37.0462,-777.86,177.916,420.661,52.7847,1038.26,4572.68
139,5.33308,5.34117,434.254,18.3752,45.4467,-777.86,177.916,420.661,52.7847,1038.26,4572.68
140,5.33308,5.34676,386.014,18.1269,43.2666,-777.86,177.916,420.661,52.7847,1038.26,4572.68
141,5.33308,5.34121,288.877,14.6053,30.5904,-777.86,177.916,420.661,52.7847,1038.26,4572.68
142,5.33308,5.34411,318.414,17.0053,36.009,-777.86,177.916,420.661,52.7847,1038.26,4572.68
143,5.33308,5.33748,522.897,18.9093,49.8684,-777.86,177.916,420.661,52.7847,1038.26,4572.68
144,5.33249,5.33249,404.831,18.3988,45.332,-777.544,177.976,420.322,52.7547,1038.26,4569.91
145,5.33249,5.33463,315.388,16.0189,34.8396,-777.544,177.976,420.322,52.7547,1038.26,4569.91
146,5.33249,5.33359,221.792,13.2861,22.6682,-777.544,177.976,420.322,52.7547,1038.26,4569.91
147,5.32979,5.32979,327.898,16.6709,39.5693,-777.353,178.086,419.939,52.8106,1037.57,4570.35
148,5.32979,5.33932,388.785,16.5574,40.9556,-777.353,178.086,419.939,52.8106,1037.57,4570.35
149,5.32979,5.33001,504.889,17.8419,47.6171,-777.353,178.086,419.939,52.8106,1037.57,4570.35
150,5.32979,5.33528,322.157,15.3581,34.4087,-777.353,178.086,419.939,52.8106,1037.57,4570.35
151,5.32979,5.33426,460.55,14.8427,36.7316,-777.353,178.086,419.939,52.8106,1037.57,4570.35
